Item,Item_Key,Intercept,Slope,R_squared,F_pvalue,Shapiro_p,BP_p
토마토 (케찹),Tomatoes,35.83870143662628,79.47388465480934,0.5482903325009328,2.31404514863076e-05,0.14154855861232404,0.12008541044546377
계란 (마요네즈),Eggs,360.9279385238078,729.5676266550364,0.7218288783537591,7.767029052553107e-08,0.2708931265457357,0.19090994223514865
건고추 (스리라차),Chillies_dry,0.07342209457250973,3.56426733807428,0.8017997532578972,1.5025225285594178e-09,0.7083337715863938,0.2687445977475394
